Team,startupPlayers,DEFstartup,backupPlayers,DEFbackup
Atlanta Hawks,Paul Millsap,103,Tim Hardaway Jr.,103.1
Atlanta Hawks,Dennis Schroder,105.4,Malcolm Delaney,100
Atlanta Hawks,Dwight Howard,103.1,Mike Muscala,101.7
Atlanta Hawks,Kent Bazemore,105.2,Kyle Korver,106.4
Atlanta Hawks,Thabo Sefolosha,103.3,Mike Dunleavy,101.9
Boston Celtics,Isaiah Thomas,108.6,Marcus Smart,104.7
Boston Celtics,Jae Crowder,104.5,Kelly Olynyk,104.2
Boston Celtics,Al Horford,105.8,Terry Rozier,102.5
Boston Celtics,Avery Bradley,107.5,Jonas Jerebko,105.7
Boston Celtics,Amir Johnson,103.4,Jaylen Brown,105.1
Brooklyn Nets,Brook Lopez,107.6,Rondae Hollis-Jefferson,106.6
Brooklyn Nets,Bojan Bogdanovic,110.7,Joe Harris,107.9
Brooklyn Nets,Sean Kilpatrick,108.7,Caris LeVert,107.6
Brooklyn Nets,Trevor Booker,107.3,Isaiah Whitehead,106.4
Brooklyn Nets,Jeremy Lin,106.4,Spencer Dinwiddie,106.3
Charlotte Hornets,Kemba Walker,105.4,Frank Kaminsky,107.3
Charlotte Hornets,Nicolas Batum,106.2,Marco Belinelli,107.4
Charlotte Hornets,Michael Kidd-Gilchrist,103.8,Ramon Sessions,108.2
Charlotte Hornets,Marvin Williams,106.4,Jeremy Lamb,108.7
Charlotte Hornets,Cody Zeller,102.9,Spencer Hawes,109.2
Chicago Bulls,Jimmy Butler,103.4,Nikola Mirotic,103
Chicago Bulls,Robin Lopez,105.1,Doug McDermott,106.9
Chicago Bulls,Taj Gibson,104.5,Jerian Grant,103.8
Chicago Bulls,Dwyane Wade,105.5,Isaiah Canaan,106.7
Chicago Bulls,Rajon Rondo,106.3,Michael Carter-Williams,104.1
Cleveland Cavaliers,LeBron James,107.1,Richard Jefferson,106.9
Cleveland Cavaliers,Kyrie Irving,109.1,Channing Frye,109
Cleveland Cavaliers,Tristan Thompson,107.7,Derrick Williams,108.5
Cleveland Cavaliers,Kevin Love,106,Iman Shumpert,108.2
Cleveland Cavaliers,JR Smith,108.1,Kyle Korver,112.8
Dallas Mavericks,Harrison Barnes,105.7,Seth Curry,105.6
Dallas Mavericks,Wesley Matthews,106.8,J.J. Barea,102.8
Dallas Mavericks,Yogi Ferrell,107.3,Salah Mejri,102.3
Dallas Mavericks,Deron Williams,107.1,Dorian Finney-Smith,105.6
Dallas Mavericks,Dirk Nowitzki,106.5,Dwight Powell,110.6
Denver Nuggets,Wilson Chandler,111.8,Jameer Nelson,109.7
Denver Nuggets,Danilo Gallinari,109.4,Will Barton,110.6
Denver Nuggets,Gary Harris,114,Jamal Murray,108.1
Denver Nuggets,Nikola Jokic,109.8,Kenneth Faried,112.1
Denver Nuggets,Emmanuel Mudiay,112.3,Mason Plumlee,111.9
Detroit Pistons,Marcus Morris,105.7,Jon Leuer,104.1
Detroit Pistons,Tobias Harris,105.5,Ish Smith,104.2
Detroit Pistons,Kentavious Caldwell-Pope,107.7,Stanley Johnson,103.7
Detroit Pistons,Andre Drummond,108.9,Aron Baynes,98.5
Detroit Pistons,Reggie Jackson,110.5,Reggie Bullock,99.8
Golden State Warriors,Kevin Durant,101.3,Shaun Livingston,100.2
Golden State Warriors,Klay Thompson,100.9,Andre Iguodala,101
Golden State Warriors,Stephen Curry,100.9,Ian Clark,103
Golden State Warriors,Draymond Green,99.3,Patrick McCaw,104.9
Golden State Warriors,Zaza Pachulia,100,David West,98.6
Houston Rockets,James Harden,107.3,Eric Gordon,104.6
Houston Rockets,Trevor Ariza,107.1,Sam Dekker,106.2
Houston Rockets,Ryan Anderson,105.8,Corey Brewer,103
Houston Rockets,Patrick Beverley,106,Montrezl Harrell,108.8
Houston Rockets,Clint Capela,105.9,Nene,102.8
