,id,date,home_team,home_team_score,visit_team,visit_team_score,WINrate
0,400578298,2015-10-29,Boston Celtics,121,Brooklyn,105,1.1523809523809523
1,400578326,2015-11-01,Houston,104,Boston Celtics,90,1.1555555555555554
2,400578338,2015-11-03,Dallas,118,Boston Celtics,113,1.0442477876106195
3,400578351,2015-11-05,Boston Celtics,107,Toronto,110,0.9727272727272728
4,400578366,2015-11-07,Boston Celtics,101,Indiana,98,1.030612244897959
5,400578378,2015-11-08,Chicago,101,Boston Celtics,106,0.9528301886792453
6,400578403,2015-11-12,Boston Celtics,94,Oklahoma City,109,0.8623853211009175
7,400578417,2015-11-14,Boston Celtics,121,Cleveland,122,0.9918032786885246
8,400578440,2015-11-17,Boston Celtics,114,Phoenix,118,0.9661016949152542
9,400578454,2015-11-19,Philadelphia,90,Boston Celtics,101,0.8910891089108911
10,400578468,2015-11-21,Memphis,117,Boston Celtics,100,1.17
11,400578486,2015-11-23,Boston Celtics,88,Portland,94,0.9361702127659575
12,400578515,2015-11-28,Boston Celtics,102,Chicago,109,0.9357798165137615
13,400578533,2015-11-30,Boston Celtics,89,San Antonio,111,0.8018018018018018
14,400578546,2015-12-02,Atlanta,109,Boston Celtics,105,1.0380952380952382
15,400578557,2015-12-03,Boston Celtics,109,Detroit,102,1.0686274509803921
16,400578571,2015-12-05,Boston Celtics,113,Los Angeles,96,1.1770833333333333
17,400578586,2015-12-07,Boston Celtics,101,Washington,93,1.086021505376344
18,400578594,2015-12-08,Washington,133,Boston Celtics,132,1.0075757575757576
19,400578608,2015-12-10,Charlotte,96,Boston Celtics,87,1.103448275862069
20,400578623,2015-12-12,Boston Celtics,95,NY Knicks,101,0.9405940594059405
21,400578649,2015-12-15,Philadelphia,87,Boston Celtics,105,0.8285714285714286
22,400578663,2015-12-17,Boston Celtics,109,Orlando,92,1.184782608695652
23,400578677,2015-12-19,Boston Celtics,114,Minnesota,98,1.163265306122449
24,400578696,2015-12-21,Miami,100,Boston Celtics,84,1.1904761904761905
25,400578710,2015-12-23,Orlando,100,Boston Celtics,95,1.0526315789473684
26,400578724,2015-12-26,Boston Celtics,107,Brooklyn,109,0.981651376146789
27,400578737,2015-12-27,Washington,101,Boston Celtics,88,1.1477272727272727
28,400578767,2015-12-31,Boston Celtics,106,Sacramento,84,1.2619047619047619
29,400578778,2015-01-02,Boston Celtics,101,Dallas,119,0.8487394957983193
30,400578788,2015-01-03,Chicago,109,Boston Celtics,104,1.0480769230769231
31,400578802,2015-01-05,Boston Celtics,95,Charlotte,104,0.9134615384615384
32,400578819,2015-01-07,Brooklyn,81,Boston Celtics,89,0.9101123595505618
33,400578830,2015-01-09,Indiana,107,Boston Celtics,103,1.0388349514563107
34,400578845,2015-01-10,Toronto,109,Boston Celtics,96,1.1354166666666667
35,400578855,2015-01-12,Boston Celtics,108,New Orleans,100,1.08
36,400578872,2015-01-14,Boston Celtics,91,Atlanta,105,0.8666666666666667
37,400578883,2015-01-16,Boston Celtics,103,Chicago,119,0.865546218487395
38,400578906,2015-01-19,LA,102,Boston Celtics,93,1.096774193548387
39,400578931,2015-01-22,Portland,89,Boston Celtics,90,0.9888888888888889
40,400578941,2015-01-23,Denver,99,Boston Celtics,100,0.99
41,400578957,2015-01-25,Golden State,114,Boston Celtics,111,1.027027027027027
42,400578965,2015-01-26,Utah,90,Boston Celtics,99,0.9090909090909091
43,400578978,2015-01-28,Minnesota,110,Boston Celtics,98,1.1224489795918366
44,400578990,2015-01-30,Boston Celtics,87,Houston,93,0.9354838709677419
45,400579008,2015-02-01,Boston Celtics,75,Miami,83,0.9036144578313253
46,400579020,2015-02-03,NY Knicks,97,Boston Celtics,108,0.8981481481481481
47,400579025,2015-02-04,Boston Celtics,104,Denver,100,1.04
48,400579042,2015-02-06,Boston Celtics,107,Philadelphia,96,1.1145833333333333
49,400579055,2015-02-07,Milwaukee,96,Boston Celtics,93,1.032258064516129
50,400579081,2015-02-11,Boston Celtics,89,Atlanta,88,1.0113636363636365
51,400579105,2015-02-20,Sacramento,109,Boston Celtics,101,1.0792079207920793
52,400579121,2015-02-22,Los Angeles,118,Boston Celtics,111,1.063063063063063
53,400579127,2015-02-23,Phoenix,110,Boston Celtics,115,0.9565217391304348
54,400579136,2015-02-25,Boston Celtics,115,NY Knicks,94,1.2234042553191489
55,400579151,2015-02-27,Boston Celtics,106,Charlotte,98,1.0816326530612246
56,400579172,2015-03-01,Boston Celtics,101,Golden State,106,0.9528301886792453
57,400579183,2015-03-03,Cleveland,110,Boston Celtics,79,1.3924050632911393
58,400579190,2015-03-04,Boston Celtics,85,Utah,84,1.0119047619047619
59,400579211,2015-03-06,New Orleans,98,Boston Celtics,104,0.9423076923076923
60,400579227,2015-03-08,Orlando,103,Boston Celtics,98,1.0510204081632653
61,400579232,2015-03-09,Miami,90,Boston Celtics,100,0.9
62,400579246,2015-03-11,Boston Celtics,95,Memphis,92,1.0326086956521738
63,400579261,2015-03-13,Boston Celtics,95,Orlando,88,1.0795454545454546
64,400579268,2015-03-14,Indiana,89,Boston Celtics,93,0.956989247311828
65,400579284,2015-03-16,Boston Celtics,108,Philadelphia,89,1.2134831460674158
66,400579303,2015-03-18,Oklahoma City,122,Boston Celtics,118,1.0338983050847457
67,400579320,2015-03-20,San Antonio,101,Boston Celtics,89,1.1348314606741574
68,400579335,2015-03-22,Boston Celtics,97,Detroit,105,0.9238095238095239
69,400579341,2015-03-23,Brooklyn,91,Boston Celtics,110,0.8272727272727273
