date,Unnamed: 0,id,date,home_team,home_team_score,visit_team,visit_team_score,WINrate
2013-10-30,0,400277722,2013-10-30,Miami,120,Boston Celtics,107,1.1214953271028036
2013-11-02,1,400277737,2013-11-02,Boston Celtics,88,Milwaukee,99,0.8888888888888888
2013-11-03,2,400277747,2013-11-03,Washington,86,Boston Celtics,89,0.9662921348314608
2013-11-07,3,400277774,2013-11-07,Boston Celtics,100,Washington,94,1.0638297872340423
2013-11-09,4,400277790,2013-11-09,Boston Celtics,100,Philadelphia,106,0.9433962264150944
2013-11-10,5,400277806,2013-11-10,Milwaukee,92,Boston Celtics,96,0.9583333333333334
2013-11-12,6,400277818,2013-11-12,Chicago,95,Boston Celtics,101,0.9405940594059404
2013-11-14,7,400277830,2013-11-14,Boston Celtics,98,Utah,93,1.053763440860215
2013-11-15,8,400277839,2013-11-15,Brooklyn,102,Boston Celtics,97,1.0515463917525774
2013-11-17,9,400277851,2013-11-17,Boston Celtics,107,Toronto,89,1.2022471910112358
2013-11-18,10,400277864,2013-11-18,Detroit,103,Boston Celtics,83,1.2409638554216869
2013-11-21,11,400277881,2013-11-21,Boston Celtics,100,San Antonio,112,0.8928571428571429
2013-11-23,12,400277893,2013-11-23,Boston Celtics,108,Oklahoma City,100,1.08
2013-11-25,13,400277915,2013-11-25,Orlando,110,Boston Celtics,116,0.9482758620689656
2013-11-28,14,400277931,2013-11-28,Boston Celtics,83,Brooklyn,95,0.8736842105263158
2013-11-30,15,400277945,2013-11-30,Boston Celtics,96,Portland,78,1.2307692307692308
2013-12-01,16,400277958,2013-12-01,Milwaukee,91,Boston Celtics,88,1.0340909090909092
2013-12-05,17,400277979,2013-12-05,Boston Celtics,104,Minnesota,94,1.1063829787234043
2013-12-07,18,400277990,2013-12-07,Philadelphia,95,Boston Celtics,94,1.0106382978723405
2013-12-08,19,400278005,2013-12-08,Boston Celtics,92,Philadelphia,79,1.1645569620253164
2013-12-12,20,400278035,2013-12-12,Boston Celtics,117,Dallas,115,1.017391304347826
2013-12-14,21,400278052,2013-12-14,Houston,101,Boston Celtics,89,1.1348314606741574
2013-12-15,22,400278064,2013-12-15,San Antonio,103,Boston Celtics,88,1.1704545454545454
2013-12-18,23,400278080,2013-12-18,Chicago,100,Boston Celtics,89,1.1235955056179776
2013-12-19,24,400278090,2013-12-19,Boston Celtics,103,Cleveland,91,1.1318681318681318
2013-12-21,25,400278102,2013-12-21,Boston Celtics,94,Milwaukee,99,0.9494949494949496
2013-12-25,26,400278125,2013-12-25,Brooklyn,76,Boston Celtics,93,0.8172043010752689
2013-12-27,27,400278144,2013-12-27,LA,106,Boston Celtics,77,1.3766233766233766
2013-12-29,28,400278167,2013-12-29,Golden State,101,Boston Celtics,83,1.216867469879518
2013-12-30,29,400278170,2013-12-30,Sacramento,118,Boston Celtics,96,1.2291666666666667
2013-01-02,30,400278188,2013-01-02,Boston Celtics,83,Memphis,93,0.8924731182795699
2013-01-04,31,400278203,2013-01-04,Boston Celtics,94,Indiana,75,1.2533333333333334
2013-01-05,32,400278209,2013-01-05,Atlanta,81,Boston Celtics,89,0.9101123595505618
2013-01-07,33,400278225,2013-01-07,NY Knicks,96,Boston Celtics,102,0.9411764705882352
2013-01-09,34,400278239,2013-01-09,Boston Celtics,87,Phoenix,79,1.1012658227848102
2013-01-11,35,400278251,2013-01-11,Boston Celtics,103,Houston,91,1.1318681318681318
2013-01-14,36,400278277,2013-01-14,Boston Celtics,100,Charlotte,89,1.1235955056179776
2013-01-16,37,400278293,2013-01-16,Boston Celtics,78,New Orleans,90,0.8666666666666667
2013-01-18,38,400278304,2013-01-18,Boston Celtics,99,Chicago,100,0.99
2013-01-20,39,400278323,2013-01-20,Detroit,103,Boston Celtics,88,1.1704545454545454
2013-01-22,40,400278334,2013-01-22,Cleveland,95,Boston Celtics,90,1.0555555555555556
2013-01-24,41,400278350,2013-01-24,Boston Celtics,86,NY Knicks,89,0.9662921348314608
2013-01-25,42,400278353,2013-01-25,Atlanta,123,Boston Celtics,111,1.108108108108108
2013-01-27,43,400278372,2013-01-27,Boston Celtics,100,Miami,98,1.020408163265306
2013-01-30,44,400278392,2013-01-30,Boston Celtics,99,Sacramento,81,1.2222222222222223
2013-02-01,45,400278406,2013-02-01,Boston Celtics,97,Orlando,84,1.1547619047619049
2013-02-03,46,400278425,2013-02-03,Boston Celtics,106,LA,104,1.0192307692307692
2013-02-06,47,400278440,2013-02-06,Toronto,95,Boston Celtics,99,0.9595959595959596
2013-02-07,48,400278453,2013-02-07,Boston Celtics,116,Los Angeles,95,1.2210526315789474
2013-02-10,49,400278474,2013-02-10,Boston Celtics,118,Denver,114,1.0350877192982455
2013-02-11,50,400278482,2013-02-11,Charlotte,94,Boston Celtics,91,1.0329670329670328
2013-02-13,51,400278498,2013-02-13,Boston Celtics,71,Chicago,69,1.0289855072463767
2013-02-19,52,400278514,2013-02-19,Denver,97,Boston Celtics,90,1.0777777777777775
2013-02-20,53,400278527,2013-02-20,Los Angeles,113,Boston Celtics,99,1.1414141414141414
2013-02-22,54,400278540,2013-02-22,Phoenix,88,Boston Celtics,113,0.7787610619469026
2013-02-24,55,400278557,2013-02-24,Portland,92,Boston Celtics,86,1.069767441860465
2013-02-25,56,400278562,2013-02-25,Utah,107,Boston Celtics,110,0.9727272727272728
2013-03-01,57,400278587,2013-03-01,Boston Celtics,94,Golden State,86,1.0930232558139534
2013-03-05,58,400278616,2013-03-05,Philadelphia,101,Boston Celtics,109,0.9266055045871558
2013-03-06,59,400278621,2013-03-06,Indiana,81,Boston Celtics,83,0.9759036144578314
2013-03-08,60,400278637,2013-03-08,Boston Celtics,107,Atlanta,102,1.0490196078431373
2013-03-10,61,400278654,2013-03-10,Oklahoma City,91,Boston Celtics,79,1.1518987341772151
2013-03-12,62,400278668,2013-03-12,Charlotte,100,Boston Celtics,74,1.351351351351351
2013-03-13,63,400278679,2013-03-13,Boston Celtics,112,Toronto,88,1.2727272727272727
2013-03-16,64,400278700,2013-03-16,Boston Celtics,105,Charlotte,88,1.193181818181818
2013-03-18,65,400278718,2013-03-18,Boston Celtics,103,Miami,105,0.9809523809523808
2013-03-20,66,400278733,2013-03-20,New Orleans,87,Boston Celtics,86,1.0116279069767442
2013-03-22,67,400278749,2013-03-22,Dallas,104,Boston Celtics,94,1.1063829787234043
2013-03-23,68,400278756,2013-03-23,Memphis,110,Boston Celtics,106,1.0377358490566038
2013-03-26,69,400278774,2013-03-26,Boston Celtics,85,NY Knicks,100,0.85
2013-03-27,70,400278780,2013-03-27,Cleveland,92,Boston Celtics,93,0.989247311827957
2013-03-29,71,400278795,2013-03-29,Boston Celtics,118,Atlanta,107,1.1028037383177571
2013-03-31,72,400278819,2013-03-31,NY Knicks,108,Boston Celtics,89,1.2134831460674158
2013-04-01,73,400278825,2013-04-01,Minnesota,110,Boston Celtics,100,1.1
2013-04-03,74,400278835,2013-04-03,Boston Celtics,98,Detroit,93,1.053763440860215
2013-04-05,75,400278847,2013-04-05,Boston Celtics,91,Cleveland,97,0.9381443298969072
2013-04-07,76,400278867,2013-04-07,Boston Celtics,107,Washington,96,1.1145833333333333
2013-04-10,77,400278888,2013-04-10,Boston Celtics,93,Brooklyn,101,0.9207920792079208
2013-04-12,78,400278900,2013-04-12,Miami,109,Boston Celtics,101,1.0792079207920793
2013-04-13,79,400278911,2013-04-13,Orlando,88,Boston Celtics,120,0.7333333333333333
2013-04-17,80,400278936,2013-04-17,Toronto,114,Boston Celtics,90,1.2666666666666666
2013-11-03,81,400277749,2013-11-03,Brooklyn Nets,107,Toronto,100,1.07
2013-11-05,82,400277763,2013-11-05,Brooklyn Nets,96,Minnesota,107,0.8971962616822429
2013-11-07,83,400277776,2013-11-07,Miami,103,Brooklyn Nets,73,1.4109589041095891
2013-11-09,84,400277789,2013-11-09,Orlando,68,Brooklyn Nets,107,0.6355140186915887
2013-11-11,85,400277810,2013-11-11,Brooklyn Nets,82,Orlando,74,1.108108108108108
2013-11-13,86,400277826,2013-11-13,Brooklyn Nets,114,Cleveland,101,1.1287128712871286
2013-11-18,87,400277862,2013-11-18,Sacramento,90,Brooklyn Nets,99,0.9090909090909092
2013-11-20,88,400277876,2013-11-20,Los Angeles,95,Brooklyn Nets,90,1.0555555555555556
2013-11-21,89,400277890,2013-11-21,Golden State,102,Brooklyn Nets,93,1.0967741935483872
2013-11-23,90,400277894,2013-11-23,Brooklyn Nets,86,LA,76,1.131578947368421
2013-11-25,91,400277913,2013-11-25,Brooklyn Nets,98,Portland,85,1.152941176470588
2013-11-26,92,400431053,2013-11-26,Brooklyn Nets,96,NY Knicks,89,1.0786516853932584
2013-11-30,93,400277944,2013-11-30,Orlando,86,Brooklyn Nets,98,0.8775510204081632
2013-12-01,94,400277953,2013-12-01,Miami,102,Brooklyn Nets,89,1.146067415730337
2013-12-04,95,400277973,2013-12-04,Brooklyn Nets,111,Oklahoma City,117,0.9487179487179488
2013-12-07,96,400277992,2013-12-07,Brooklyn Nets,102,Golden State,109,0.9357798165137616
2013-12-09,97,400278013,2013-12-09,Brooklyn Nets,88,Milwaukee,97,0.9072164948453608
2013-12-11,98,400278024,2013-12-11,Brooklyn Nets,97,NY Knicks,100,0.97
2013-12-12,99,400278029,2013-12-12,Toronto,88,Brooklyn Nets,94,0.9361702127659576
2013-12-14,100,400278048,2013-12-14,Brooklyn Nets,107,Detroit,105,1.019047619047619
2013-12-15,101,400278061,2013-12-15,Chicago,83,Brooklyn Nets,82,1.0121951219512195
2013-12-18,102,400278078,2013-12-18,Brooklyn Nets,90,Utah,92,0.9782608695652174
2013-12-19,103,400278087,2013-12-19,NY Knicks,100,Brooklyn Nets,86,1.162790697674419
2013-12-23,104,400278119,2013-12-23,Brooklyn Nets,95,Philadelphia,92,1.0326086956521738
2013-12-26,105,400278135,2013-12-26,Milwaukee,108,Brooklyn Nets,93,1.1612903225806452
2013-12-28,106,400278147,2013-12-28,Brooklyn Nets,97,Charlotte,81,1.1975308641975309
2013-12-29,107,400278160,2013-12-29,Brooklyn Nets,103,Cleveland,100,1.03
2013-12-31,108,400278177,2013-12-31,San Antonio,104,Brooklyn Nets,73,1.4246575342465753
2013-01-02,109,400278192,2013-01-02,Oklahoma City,93,Brooklyn Nets,110,0.8454545454545455
2013-01-04,110,400278199,2013-01-04,Washington,113,Brooklyn Nets,115,0.982608695652174
2013-01-05,111,400278212,2013-01-05,Brooklyn Nets,113,Sacramento,93,1.2150537634408602
2013-01-08,112,400278231,2013-01-08,Philadelphia,89,Brooklyn Nets,109,0.8165137614678899
2013-01-11,113,400278252,2013-01-11,Brooklyn Nets,99,Phoenix,79,1.2531645569620251
2013-01-13,114,400278271,2013-01-13,Brooklyn Nets,97,Indiana,86,1.127906976744186
2013-01-15,115,400278286,2013-01-15,Brooklyn Nets,113,Toronto,106,1.0660377358490567
2013-01-16,116,400278292,2013-01-16,Atlanta,109,Brooklyn Nets,95,1.1473684210526316
2013-01-18,117,400278308,2013-01-18,Brooklyn Nets,94,Atlanta,89,1.0561797752808988
2013-01-21,118,400278329,2013-01-21,NY Knicks,85,Brooklyn Nets,88,0.9659090909090908
2013-01-23,119,400278343,2013-01-23,Minnesota,83,Brooklyn Nets,91,0.912087912087912
2013-01-25,120,400278357,2013-01-25,Memphis,101,Brooklyn Nets,77,1.3116883116883118
2013-01-26,121,400278366,2013-01-26,Houston,119,Brooklyn Nets,106,1.1226415094339623
2013-01-28,122,400278382,2013-01-28,Brooklyn Nets,97,Orlando,77,1.2597402597402598
2013-01-30,123,400278395,2013-01-30,Brooklyn Nets,85,Miami,105,0.8095238095238095
