GAME_DATE,Team_ID,Game_ID,GAME_DATE,MATCHUP,HomeTeam,VisitTeam,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2013-10-29,1610612746,0021300003,2013-10-29,LAC @ LAL,LAL,LAC,L,0,1,0.0,240,41,83,0.494,8,21,0.381,13,23,0.565,10,30,40,27,11,4,16,21,103
2013-10-29,1610612753,0021300001,2013-10-29,ORL @ IND,IND,ORL,L,0,1,0.0,240,36,93,0.387,9,19,0.474,6,10,0.6,13,26,39,17,10,6,17,26,87
2013-10-29,1610612748,0021300002,2013-10-29,MIA vs. CHI,MIA,CHI,W,1,0,1.0,240,37,72,0.514,11,20,0.55,22,29,0.759,5,35,40,26,10,7,18,21,107
2013-10-30,1610612748,0021300005,2013-10-30,MIA @ PHI,PHI,MIA,L,1,1,0.5,240,42,85,0.494,16,40,0.4,10,13,0.769,7,24,31,30,7,0,19,25,110
2013-10-30,1610612747,0021300017,2013-10-30,LAL @ GSW,GSW,LAL,L,1,1,0.5,240,35,89,0.393,8,18,0.444,16,21,0.762,9,30,39,19,5,4,16,22,94
2013-10-30,1610612751,0021300004,2013-10-30,BKN @ CLE,CLE,BKN,L,0,1,0.0,240,33,82,0.402,9,24,0.375,19,24,0.792,9,28,37,24,8,8,15,27,94
2013-10-30,1610612745,0021300009,2013-10-30,HOU vs. CHA,HOU,CHA,W,1,0,1.0,240,36,76,0.474,9,25,0.36,15,24,0.625,14,40,54,17,4,6,18,16,96
2013-10-30,1610612743,0021300016,2013-10-30,DEN @ SAC,SAC,DEN,L,0,1,0.0,240,34,79,0.43,5,15,0.333,15,17,0.882,8,33,41,19,3,11,18,21,88
2013-10-30,1610612742,0021300012,2013-10-30,DAL vs. ATL,DAL,ATL,W,1,0,1.0,240,44,77,0.571,11,24,0.458,19,24,0.792,7,35,42,31,7,2,20,22,118
2013-10-30,1610612740,0021300011,2013-10-30,NOP vs. IND,NOP,IND,L,0,1,0.0,240,34,85,0.4,5,11,0.455,17,21,0.81,15,28,43,17,7,5,15,29,90
2013-10-30,1610612749,0021300008,2013-10-30,MIL @ NYK,NYK,MIL,L,0,1,0.0,240,34,74,0.459,5,16,0.313,10,12,0.833,5,26,31,19,10,4,23,22,83
2013-10-30,1610612750,0021300010,2013-10-30,MIN vs. ORL,MIN,ORL,W,1,0,1.0,265,42,100,0.42,8,25,0.32,28,34,0.824,14,35,49,27,7,3,14,19,120
2013-10-30,1610612756,0021300015,2013-10-30,PHX vs. POR,PHX,POR,W,1,0,1.0,240,43,83,0.518,4,19,0.211,14,18,0.778,11,36,47,18,8,5,15,17,104
2013-10-30,1610612759,0021300013,2013-10-30,SAS vs. MEM,SAS,MEM,W,1,0,1.0,240,40,76,0.526,11,20,0.55,10,16,0.625,4,36,40,25,3,6,15,18,101
2013-10-30,1610612760,0021300014,2013-10-30,OKC @ UTA,UTA,OKC,W,1,0,1.0,240,33,81,0.407,6,19,0.316,29,33,0.879,10,35,45,9,15,4,13,24,101
2013-10-30,1610612761,0021300006,2013-10-30,TOR vs. BOS,TOR,BOS,W,1,0,1.0,240,38,86,0.442,5,17,0.294,12,23,0.522,19,29,48,15,9,6,17,25,93
2013-10-30,1610612764,0021300007,2013-10-30,WAS @ DET,DET,WAS,L,0,1,0.0,240,34,78,0.436,10,25,0.4,24,32,0.75,13,25,38,23,5,3,16,30,102
2013-10-31,1610612744,0021300019,2013-10-31,GSW @ LAC,LAC,GSW,L,1,1,0.5,240,40,76,0.526,12,21,0.571,23,33,0.697,10,23,33,26,7,2,24,35,115
2013-10-31,1610612741,0021300018,2013-10-31,CHI vs. NYK,CHI,NYK,W,1,1,0.5,240,31,76,0.408,3,16,0.188,17,19,0.895,13,35,48,20,5,3,18,16,82
2013-11-01,1610612755,0021300022,2013-11-01,PHI @ WAS,WAS,PHI,W,2,0,1.0,240,48,94,0.511,6,23,0.261,7,14,0.5,9,37,46,26,8,6,19,17,109
2013-11-01,1610612751,0021300028,2013-11-01,BKN vs. MIA,BKN,MIA,W,1,1,0.5,240,33,68,0.485,8,16,0.5,27,39,0.692,7,33,40,21,5,5,18,29,101
2013-11-01,1610612742,0021300025,2013-11-01,DAL @ HOU,HOU,DAL,L,1,1,0.5,240,38,100,0.38,9,27,0.333,20,25,0.8,16,27,43,20,9,7,14,37,105
2013-11-01,1610612765,0021300026,2013-11-01,DET @ MEM,MEM,DET,L,1,1,0.5,265,42,89,0.472,7,21,0.333,17,24,0.708,15,26,41,21,10,6,19,26,108
2013-11-01,1610612747,0021300032,2013-11-01,LAL vs. SAS,LAL,SAS,L,1,2,0.333,240,30,82,0.366,8,27,0.296,17,24,0.708,8,38,46,22,4,7,12,19,85
2013-11-01,1610612739,0021300020,2013-11-01,CLE @ CHA,CHA,CLE,L,1,1,0.5,240,32,84,0.381,4,18,0.222,16,22,0.727,11,31,42,14,9,1,17,29,84
2013-11-01,1610612761,0021300023,2013-11-01,TOR @ ATL,ATL,TOR,L,1,1,0.5,240,40,88,0.455,7,23,0.304,8,14,0.571,10,32,42,15,5,6,12,25,95
2013-11-01,1610612753,0021300021,2013-11-01,ORL vs. NOP,ORL,NOP,W,1,2,0.333,240,39,70,0.557,11,22,0.5,21,27,0.778,5,39,44,22,11,7,18,19,110
2013-11-01,1610612749,0021300024,2013-11-01,MIL @ BOS,BOS,MIL,W,1,1,0.5,240,35,84,0.417,6,15,0.4,29,34,0.853,17,24,41,18,10,7,7,24,105
2013-11-01,1610612758,0021300031,2013-11-01,SAC vs. LAC,SAC,LAC,L,1,1,0.5,240,36,79,0.456,6,17,0.353,23,32,0.719,10,25,35,21,7,5,9,27,101
2013-11-01,1610612757,0021300029,2013-11-01,POR @ DEN,DEN,POR,W,1,1,0.5,240,44,103,0.427,14,22,0.636,11,15,0.733,16,39,55,25,3,5,7,25,113
2013-11-01,1610612750,0021300027,2013-11-01,MIN vs. OKC,MIN,OKC,W,2,0,1.0,240,33,77,0.429,8,20,0.4,26,33,0.788,9,35,44,21,14,2,15,21,100
2013-11-01,1610612762,0021300030,2013-11-01,UTA @ PHX,PHX,UTA,L,0,2,0.0,240,31,85,0.365,5,17,0.294,17,27,0.63,22,31,53,20,3,1,20,20,84
2013-11-02,1610612749,0021300037,2013-11-02,MIL vs. TOR,MIL,TOR,L,1,2,0.333,240,37,84,0.44,6,17,0.353,10,18,0.556,6,32,38,25,7,5,13,26,90
2013-11-02,1610612740,0021300035,2013-11-02,NOP vs. CHA,NOP,CHA,W,1,2,0.333,240,37,75,0.493,7,13,0.538,24,28,0.857,8,35,43,30,10,18,17,26,105
2013-11-02,1610612757,0021300039,2013-11-02,POR vs. SAS,POR,SAS,W,2,1,0.667,240,45,81,0.556,8,20,0.4,17,19,0.895,7,32,39,29,3,7,16,15,115
2013-11-02,1610612739,0021300033,2013-11-02,CLE @ IND,IND,CLE,L,1,2,0.333,240,29,83,0.349,3,15,0.2,13,15,0.867,6,31,37,11,15,1,16,25,74
2013-11-02,1610612758,0021300040,2013-11-02,SAC @ GSW,GSW,SAC,L,1,2,0.333,240,30,87,0.345,6,26,0.231,21,24,0.875,16,32,48,16,9,1,14,18,87
2013-11-02,1610612741,0021300034,2013-11-02,CHI @ PHI,PHI,CHI,L,1,2,0.333,240,42,93,0.452,3,14,0.214,17,19,0.895,17,34,51,28,8,5,18,14,104
2013-11-02,1610612745,0021300038,2013-11-02,HOU @ UTA,UTA,HOU,W,3,0,1.0,240,34,67,0.507,9,22,0.409,27,35,0.771,9,31,40,16,6,7,18,23,104
2013-11-02,1610612763,0021300036,2013-11-02,MEM @ DAL,DAL,MEM,L,1,2,0.333,240,37,87,0.425,3,16,0.188,22,26,0.846,17,34,51,20,6,2,17,34,99
2013-11-03,1610612753,0021300043,2013-11-03,ORL vs. BKN,ORL,BKN,W,2,2,0.5,240,42,89,0.472,7,17,0.412,16,22,0.727,13,41,54,19,7,4,15,19,107
2013-11-03,1610612748,0021300042,2013-11-03,MIA vs. WAS,MIA,WAS,W,2,2,0.5,240,37,70,0.529,11,27,0.407,18,27,0.667,8,24,32,32,9,6,16,18,103
