Date,HomeTeam,HomeTeamPTS,VisitTeam,VisitTeamPTS,Winning
2016-10-25,POR,113,UTA,104,1.0865384615384615
2016-10-25,GSW,100,SAS,129,0.7751937984496124
2016-10-25,CLE,117,NYK,88,1.3295454545454546
2016-10-26,BOS,122,BKN,117,1.0427350427350428
2016-10-26,NOP,102,DEN,107,0.9532710280373832
2016-10-26,IND,130,DAL,121,1.0743801652892562
2016-10-26,LAL,120,HOU,114,1.0526315789473684
2016-10-26,ORL,96,MIA,108,0.8888888888888888
2016-10-26,MIL,96,CHA,107,0.897196261682243
2016-10-26,PHI,97,OKC,103,0.941747572815534
2016-10-26,PHX,94,SAC,113,0.831858407079646
2016-10-26,TOR,109,DET,91,1.1978021978021978
2016-10-26,MEM,102,MIN,98,1.0408163265306123
2016-10-27,POR,106,LAC,114,0.9298245614035088
2016-10-27,SAC,94,SAS,102,0.9215686274509803
2016-10-27,ATL,114,WAS,99,1.1515151515151516
2016-10-27,CHI,105,BOS,99,1.0606060606060606
2016-10-28,BKN,103,IND,94,1.0957446808510638
2016-10-28,NOP,114,GSW,122,0.9344262295081968
2016-10-28,OKC,113,PHX,110,1.0272727272727273
2016-10-28,DAL,98,HOU,106,0.9245283018867925
2016-10-28,MIA,91,CHA,97,0.9381443298969072
2016-10-28,UTA,96,LAL,89,1.0786516853932584
2016-10-28,TOR,91,CLE,94,0.9680851063829787
2016-10-28,DET,108,ORL,82,1.3170731707317074
2016-10-29,CHI,118,IND,101,1.1683168316831682
2016-10-29,CHA,98,BOS,104,0.9423076923076923
2016-10-29,MIL,110,BKN,108,1.0185185185185186
2016-10-29,DEN,113,POR,115,0.9826086956521739
2016-10-29,SAS,98,NOP,79,1.240506329113924
2016-10-29,SAC,106,MIN,103,1.029126213592233
2016-10-29,PHI,72,ATL,104,0.6923076923076923
2016-10-29,CLE,105,ORL,99,1.0606060606060606
2016-10-29,NYK,111,MEM,104,1.0673076923076923
2016-10-30,PHX,100,GSW,106,0.9433962264150944
2016-10-30,LAC,88,UTA,75,1.1733333333333333
2016-10-30,DET,98,MIL,83,1.180722891566265
2016-10-30,HOU,93,DAL,92,1.0108695652173914
2016-10-30,OKC,113,LAL,96,1.1770833333333333
2016-10-30,MEM,112,WAS,103,1.087378640776699
2016-10-30,MIA,99,SAS,106,0.9339622641509434
2016-10-31,LAC,116,PHX,98,1.183673469387755
2016-10-31,BKN,88,CHI,118,0.7457627118644068
2016-10-31,ATL,106,SAC,95,1.1157894736842104
2016-10-31,TOR,105,DEN,102,1.0294117647058822
2016-11-01,POR,104,GSW,127,0.8188976377952756
2016-11-01,IND,115,LAL,108,1.0648148148148149
2016-11-01,NOP,113,MIL,117,0.9658119658119658
2016-11-01,MIN,116,MEM,80,1.45
2016-11-01,SAS,91,UTA,106,0.8584905660377359
2016-11-01,CLE,128,HOU,120,1.0666666666666667
2016-11-01,MIA,108,SAC,96,1.125
2016-11-01,PHI,101,ORL,103,0.9805825242718447
2016-11-01,DET,102,NYK,89,1.146067415730337
2016-11-02,NYK,99,HOU,118,0.8389830508474576
2016-11-02,MEM,89,NOP,83,1.072289156626506
2016-11-02,BOS,107,CHI,100,1.07
2016-11-02,LAC,83,OKC,85,0.9764705882352941
2016-11-02,CHA,109,PHI,93,1.1720430107526882
2016-11-02,UTA,97,DAL,81,1.1975308641975309
2016-11-02,PHX,118,POR,115,1.0260869565217392
2016-11-02,ATL,116,LAL,123,0.943089430894309
2016-11-02,BKN,109,DET,101,1.0792079207920793
2016-11-02,WAS,103,TOR,113,0.911504424778761
2016-11-03,ORL,102,SAC,94,1.0851063829787233
2016-11-03,CLE,128,BOS,122,1.0491803278688525
2016-11-03,GSW,122,OKC,96,1.2708333333333333
2016-11-03,MIN,99,DEN,102,0.9705882352941176
2016-11-03,MIL,125,IND,107,1.1682242990654206
2016-11-04,MEM,88,LAC,99,0.8888888888888888
2016-11-04,NOP,111,PHX,112,0.9910714285714286
2016-11-04,UTA,86,SAS,100,0.86
2016-11-04,LAL,117,GSW,97,1.2061855670103092
2016-11-04,WAS,95,ATL,92,1.0326086956521738
2016-11-04,DAL,95,POR,105,0.9047619047619048
2016-11-04,BKN,95,CHA,99,0.9595959595959596
2016-11-04,TOR,96,MIA,87,1.103448275862069
2016-11-04,CHI,104,NYK,117,0.8888888888888888
2016-11-05,ATL,112,HOU,97,1.1546391752577319
2016-11-05,ORL,88,WAS,86,1.0232558139534884
2016-11-05,PHI,101,CLE,102,0.9901960784313726
2016-11-05,OKC,112,MIN,92,1.2173913043478262
2016-11-05,SAS,92,LAC,116,0.7931034482758621
2016-11-05,MIL,117,SAC,91,1.2857142857142858
2016-11-05,DET,103,DEN,86,1.197674418604651
2016-11-05,IND,111,CHI,94,1.1808510638297873
2016-11-06,MEM,94,POR,100,0.94
2016-11-06,DAL,86,MIL,75,1.1466666666666667
2016-11-06,LAL,119,PHX,108,1.1018518518518519
2016-11-06,BOS,107,DEN,123,0.8699186991869918
2016-11-06,NYK,109,UTA,114,0.956140350877193
2016-11-06,TOR,91,SAC,96,0.9479166666666666
2016-11-07,WAS,106,HOU,114,0.9298245614035088
2016-11-07,GSW,116,NOP,106,1.0943396226415094
2016-11-07,PHI,84,UTA,109,0.7706422018348624
2016-11-07,CHA,122,IND,100,1.22
2016-11-07,LAC,114,DET,82,1.3902439024390243
2016-11-07,OKC,97,MIA,85,1.1411764705882352
2016-11-07,CHI,112,ORL,80,1.4
2016-11-08,SAC,102,NOP,94,1.0851063829787233
2016-11-08,BKN,119,MIN,110,1.0818181818181818
2016-11-08,POR,124,PHX,121,1.024793388429752
2016-11-08,MEM,108,DEN,107,1.0093457943925233
2016-11-08,LAL,97,DAL,109,0.8899082568807339
2016-11-08,CLE,106,ATL,110,0.9636363636363636
2016-11-09,ORL,107,MIN,123,0.8699186991869918
2016-11-09,PHX,107,DET,100,1.07
2016-11-09,WAS,118,BOS,93,1.2688172043010753
2016-11-09,GSW,116,DAL,95,1.2210526315789474
2016-11-09,ATL,115,CHI,107,1.074766355140187
2016-11-09,OKC,102,TOR,112,0.9107142857142857
2016-11-09,LAC,111,POR,80,1.3875
2016-11-09,SAS,99,HOU,101,0.9801980198019802
2016-11-09,CHA,104,UTA,98,1.0612244897959184
