,Team,TotalbackupDef,TotalbackupPer,TotalstartupDef,TotalstartupPer
0,Atlanta Hawks,507.40000000000003,63.379999999999995,504.19999999999993,92.91
1,Boston Celtics,506.2,73.35,514.3000000000001,77.72
2,Brooklyn Nets,521.6999999999999,56.790000000000006,525.7,85.91
3,Charlotte Hornets,506.6,58.04,498.3,79.99000000000001
4,Chicago Bulls,505.69999999999993,65.53,506.30000000000007,86.97999999999999
5,Cleveland Cavaliers,529.5,51.010000000000005,518.5,96.69
6,Detroit Pistons,514.1999999999999,63.25000000000001,522.7,82.25
7,Indiana Pacers,501.8,66.8,504.00000000000006,77.43
8,Miami Heat,511.90000000000003,58.54,522.7,94.88000000000001
9,Milwaukee Bucks,494.9,72.07,495.4,80.34
10,New York Knicks,525.9,61.730000000000004,541.1,69.12
11,Orlando Magic,512.1,59.29,532.5,77.77000000000001
12,Philadelphia 76ers,515.4,55.290000000000006,506.29999999999995,69.44
13,Toronto Raptors,518.1999999999999,78.47000000000001,526.1,84.03
14,Washington Wizards,507.5,62.14,490.9,67.45
15,Dallas Mavericks,520.0999999999999,73.29,517.6999999999999,85.83
16,Denver Nuggets,516.5,62.59,530.5,77.49000000000001
17,Golden State Warriors,501.29999999999995,78.06,484.0,94.57999999999998
18,Houston Rockets,507.90000000000003,59.260000000000005,502.2,84.62
19,LA Clippers,518.9,58.32,512.0,97.47000000000001
20,Los Angeles Lakers,536.9,71.67,543.8000000000001,73.64
21,Memphis Grizzlies,486.0,63.66,501.0,86.07
22,Minnesota Timberwolves,544.3,65.53,549.9,75.01
23,New Orleans Pelicans,524.5,64.48,521.8,95.73000000000002
24,Oklahoma City Thunder,509.7,61.309999999999995,508.7,96.60000000000002
25,Phoenix Suns,524.6,77.12,512.0,77.85
26,Portland Trail Blazers,502.4,63.56,509.90000000000003,89.15
27,Sacramento Kings,542.1,62.31,524.9,83.22999999999999
28,San Antonio Spurs,501.79999999999995,67.51,494.09999999999997,96.25
29,Utah Jazz,496.79999999999995,66.84,517.4,80.8
