Date,GameID,HomeTeam,HomeTeamPTS,HomeTeamW_PCT,Ratio,VisitTeam,VisitTeamPTS,VisitTeamW_PCT,WL
2013-10-29,21300003,LAL,116,1.0,inf,LAC,103,0.0,1.13
2013-10-29,21300001,IND,97,1.0,inf,ORL,87,0.0,1.11
2013-10-29,21300002,MIA,107,1.0,inf,CHI,95,0.0,1.13
2013-10-30,21300005,PHI,114,1.0,2.0,MIA,110,0.5,1.04
2013-10-30,21300017,GSW,125,1.0,2.0,LAL,94,0.5,1.33
2013-10-30,21300004,CLE,98,1.0,inf,BKN,94,0.0,1.04
2013-10-30,21300009,HOU,96,1.0,inf,CHA,83,0.0,1.16
2013-10-30,21300016,SAC,90,1.0,inf,DEN,88,0.0,1.02
2013-10-30,21300012,DAL,118,1.0,inf,ATL,109,0.0,1.08
2013-10-30,21300011,NOP,90,0.0,0.0,IND,95,1.0,0.95
2013-10-30,21300008,NYK,90,1.0,inf,MIL,83,0.0,1.08
2013-10-30,21300010,MIN,120,1.0,inf,ORL,115,0.0,1.04
2013-10-30,21300015,PHX,104,1.0,inf,POR,91,0.0,1.14
2013-10-30,21300013,SAS,101,1.0,inf,MEM,94,0.0,1.07
2013-10-30,21300014,UTA,98,0.0,0.0,OKC,101,1.0,0.97
2013-10-30,21300006,TOR,93,1.0,inf,BOS,87,0.0,1.07
2013-10-30,21300007,DET,113,1.0,inf,WAS,102,0.0,1.11
2013-10-31,21300019,LAC,126,0.5,1.0,GSW,115,0.5,1.1
2013-10-31,21300018,CHI,82,0.5,1.0,NYK,81,0.5,1.01
2013-11-01,21300022,WAS,102,0.0,0.0,PHI,109,1.0,0.94
2013-11-01,21300028,BKN,101,0.5,1.5,MIA,100,0.33299999999999996,1.01
2013-11-01,21300025,HOU,113,1.0,2.0,DAL,105,0.5,1.08
2013-11-01,21300026,MEM,111,0.5,1.0,DET,108,0.5,1.03
2013-11-01,21300032,LAL,85,0.33299999999999996,0.33,SAS,91,1.0,0.93
2013-11-01,21300020,CHA,90,0.5,1.0,CLE,84,0.5,1.07
2013-11-01,21300023,ATL,102,0.5,1.0,TOR,95,0.5,1.07
2013-11-01,21300021,ORL,110,0.33299999999999996,inf,NOP,90,0.0,1.22
2013-11-01,21300024,BOS,98,0.0,0.0,MIL,105,0.5,0.93
2013-11-01,21300031,SAC,101,0.5,0.75,LAC,110,0.667,0.92
2013-11-01,21300029,DEN,98,0.0,0.0,POR,113,0.5,0.87
2013-11-01,21300027,MIN,100,1.0,2.0,OKC,81,0.5,1.23
2013-11-01,21300030,PHX,87,1.0,inf,UTA,84,0.0,1.04
2013-11-02,21300037,MIL,90,0.33299999999999996,0.5,TOR,97,0.667,0.93
2013-11-02,21300035,NOP,105,0.33299999999999996,1.0,CHA,84,0.33299999999999996,1.25
2013-11-02,21300039,POR,115,0.667,1.0,SAS,105,0.667,1.1
2013-11-02,21300033,IND,89,1.0,3.0,CLE,74,0.33299999999999996,1.2
2013-11-02,21300040,GSW,98,0.667,2.0,SAC,87,0.33299999999999996,1.13
2013-11-02,21300034,PHI,107,1.0,3.0,CHI,104,0.33299999999999996,1.03
2013-11-02,21300038,UTA,93,0.0,0.0,HOU,104,1.0,0.89
2013-11-02,21300036,DAL,111,0.667,2.0,MEM,99,0.33299999999999996,1.12
2013-11-03,21300043,ORL,107,0.5,1.5,BKN,86,0.33299999999999996,1.24
2013-11-03,21300042,MIA,103,0.5,inf,WAS,93,0.0,1.11
2013-11-03,21300044,OKC,103,0.667,1.0,PHX,96,0.667,1.07
2013-11-03,21300046,LAL,105,0.5,1.5,ATL,103,0.33299999999999996,1.02
2013-11-03,21300045,NYK,100,0.33299999999999996,0.33,MIN,109,1.0,0.92
2013-11-03,21300041,DET,87,0.667,inf,BOS,77,0.0,1.13
2013-11-04,21300047,CLE,93,0.5,0.67,MIN,92,0.75,1.01
2013-11-04,21300050,LAC,137,0.75,1.0,HOU,118,0.75,1.16
2013-11-04,21300049,MEM,95,0.5,inf,BOS,88,0.0,1.08
2013-11-04,21300048,PHI,90,0.75,1.0,GSW,110,0.75,0.82
2013-11-05,21300055,NOP,98,0.25,0.33,PHX,104,0.75,0.94
