Date,GameID,HomeTeam,HomeTeamPTS,HomeTeamW_PCT,Ratio,VisitTeam,VisitTeamPTS,VisitTeamW_PCT,WL
2016-10-25,21600002,POR,113,0.0,1.0,UTA,104,0.0,1.09
2016-10-25,21600003,GSW,100,0.0,1.0,SAS,129,0.0,0.78
2016-10-25,21600001,CLE,117,0.0,1.0,NYK,88,0.0,1.33
2016-10-26,21600006,BOS,122,0.0,1.0,BKN,117,0.0,1.04
2016-10-26,21600010,NOP,102,0.0,1.0,DEN,107,0.0,0.95
2016-10-26,21600005,IND,130,0.0,1.0,DAL,121,0.0,1.07
2016-10-26,21600013,LAL,120,0.0,1.0,HOU,114,0.0,1.05
2016-10-26,21600004,ORL,96,0.0,1.0,MIA,108,0.0,0.89
2016-10-26,21600008,MIL,96,0.0,1.0,CHA,107,0.0,0.9
2016-10-26,21600011,PHI,97,0.0,1.0,OKC,103,0.0,0.94
2016-10-26,21600012,PHX,94,0.0,1.0,SAC,113,0.0,0.83
2016-10-26,21600007,TOR,109,0.0,1.0,DET,91,0.0,1.2
2016-10-26,21600009,MEM,102,0.0,1.0,MIN,98,0.0,1.04
2016-10-27,21600017,POR,106,1.0,1.0,LAC,114,0.0,0.93
2016-10-27,21600016,SAC,94,1.0,1.0,SAS,102,1.0,0.92
2016-10-27,21600014,ATL,114,0.0,1.0,WAS,99,0.0,1.15
2016-10-27,21600015,CHI,105,0.0,0.0,BOS,99,1.0,1.06
2016-10-28,21600019,BKN,103,0.0,0.0,IND,94,1.0,1.1
2016-10-28,21600025,NOP,114,0.0,1.0,GSW,122,0.0,0.93
2016-10-28,21600021,OKC,113,1.0,1.0,PHX,110,0.0,1.03
2016-10-28,21600023,DAL,98,0.0,1.0,HOU,106,0.0,0.92
2016-10-28,21600022,MIA,91,1.0,1.0,CHA,97,1.0,0.94
2016-10-28,21600024,UTA,96,0.0,0.0,LAL,89,1.0,1.08
2016-10-28,21600018,TOR,91,1.0,1.0,CLE,94,1.0,0.97
2016-10-28,21600020,DET,108,0.0,1.0,ORL,82,0.0,1.32
2016-10-29,21600030,CHI,118,1.0,2.0,IND,101,0.5,1.17
2016-10-29,21600027,CHA,98,1.0,2.0,BOS,104,0.5,0.94
2016-10-29,21600031,MIL,110,0.0,0.0,BKN,108,0.5,1.02
2016-10-29,21600033,DEN,113,1.0,2.0,POR,115,0.5,0.98
2016-10-29,21600032,SAS,98,1.0,1.0,NOP,79,0.0,1.24
2016-10-29,21600034,SAC,106,0.5,1.0,MIN,103,0.0,1.03
2016-10-29,21600026,PHI,72,0.0,0.0,ATL,104,1.0,0.69
2016-10-29,21600029,CLE,105,1.0,1.0,ORL,99,0.0,1.06
2016-10-29,21600028,NYK,111,0.0,0.0,MEM,104,1.0,1.07
2016-10-30,21600036,PHX,100,0.0,0.0,GSW,106,0.5,0.94
2016-10-30,21600035,LAC,88,1.0,2.0,UTA,75,0.5,1.17
2016-10-30,21600038,DET,98,0.5,1.0,MIL,83,0.5,1.18
2016-10-30,21600041,HOU,93,0.5,1.0,DAL,92,0.0,1.01
2016-10-30,21600040,OKC,113,1.0,2.0,LAL,96,0.5,1.18
2016-10-30,21600039,MEM,112,0.5,1.0,WAS,103,0.0,1.09
2016-10-30,21600037,MIA,99,0.5,0.5,SAS,106,1.0,0.93
2016-10-31,21600045,LAC,116,1.0,1.0,PHX,98,0.0,1.18
2016-10-31,21600043,BKN,88,0.33,0.33,CHI,118,1.0,0.75
2016-10-31,21600044,ATL,106,1.0,1.49,SAC,95,0.67,1.12
2016-10-31,21600042,TOR,105,0.5,1.0,DEN,102,0.5,1.03
2016-11-01,21600054,POR,104,0.67,1.0,GSW,127,0.67,0.82
2016-11-01,21600048,IND,115,0.33,1.0,LAL,108,0.33,1.06
2016-11-01,21600051,NOP,113,0.0,0.0,MIL,117,0.33,0.97
2016-11-01,21600052,MIN,116,0.0,0.0,MEM,80,0.67,1.45
2016-11-01,21600053,SAS,91,1.0,3.03,UTA,106,0.33,0.86
2016-11-01,21600047,CLE,128,1.0,1.49,HOU,120,0.67,1.07
2016-11-01,21600049,MIA,108,0.33,0.66,SAC,96,0.5,1.12
2016-11-01,21600046,PHI,101,0.0,1.0,ORL,103,0.0,0.98
2016-11-01,21600050,DET,102,0.67,1.34,NYK,89,0.5,1.15
2016-11-02,21600058,NYK,99,0.33,0.66,HOU,118,0.5,0.84
2016-11-02,21600060,MEM,89,0.5,1.0,NOP,83,0.0,1.07
2016-11-02,21600061,BOS,107,0.67,0.67,CHI,100,1.0,1.07
2016-11-02,21600064,LAC,83,1.0,1.0,OKC,85,1.0,0.98
2016-11-02,21600056,CHA,109,0.67,1.0,PHI,93,0.0,1.17
2016-11-02,21600062,UTA,97,0.5,1.0,DAL,81,0.0,1.2
2016-11-02,21600063,PHX,118,0.0,0.0,POR,115,0.5,1.03
2016-11-02,21600059,ATL,116,1.0,4.0,LAL,123,0.25,0.94
2016-11-02,21600057,BKN,109,0.25,0.33,DET,101,0.75,1.08
2016-11-02,21600055,WAS,103,0.0,0.0,TOR,113,0.67,0.91
2016-11-03,21600065,ORL,102,0.25,0.62,SAC,94,0.4,1.09
2016-11-03,21600068,CLE,128,1.0,1.33,BOS,122,0.75,1.05
2016-11-03,21600069,GSW,122,0.75,0.75,OKC,96,1.0,1.27
2016-11-03,21600067,MIN,99,0.33,1.0,DEN,102,0.33,0.97
2016-11-03,21600066,MIL,125,0.5,1.0,IND,107,0.5,1.17
2016-11-04,21600074,MEM,88,0.6,0.8,LAC,99,0.75,0.89
2016-11-04,21600075,NOP,111,0.0,0.0,PHX,112,0.2,0.99
2016-11-04,21600077,UTA,86,0.6,0.75,SAS,100,0.8,0.86
2016-11-04,21600078,LAL,117,0.4,0.5,GSW,97,0.8,1.21
2016-11-04,21600070,WAS,95,0.0,0.0,ATL,92,0.75,1.03
2016-11-04,21600076,DAL,95,0.0,0.0,POR,105,0.4,0.9
2016-11-04,21600072,BKN,95,0.4,0.53,CHA,99,0.75,0.96
2016-11-04,21600071,TOR,96,0.75,1.5,MIA,87,0.5,1.1
2016-11-04,21600073,CHI,104,0.75,3.0,NYK,117,0.25,0.89
2016-11-05,21600084,ATL,112,0.6,1.0,HOU,97,0.6,1.15
2016-11-05,21600081,ORL,88,0.4,1.6,WAS,86,0.25,1.02
2016-11-05,21600080,PHI,101,0.0,0.0,CLE,102,1.0,0.99
2016-11-05,21600079,OKC,112,0.8,3.2,MIN,92,0.25,1.22
2016-11-05,21600086,SAS,92,0.83,1.04,LAC,116,0.8,0.79
2016-11-05,21600085,MIL,117,0.6,1.82,SAC,91,0.33,1.29
2016-11-05,21600082,DET,103,0.6,1.2,DEN,86,0.5,1.2
2016-11-05,21600083,IND,111,0.4,0.67,CHI,94,0.6,1.18
2016-11-06,21600088,MEM,94,0.5,1.0,POR,100,0.5,0.94
2016-11-06,21600090,DAL,86,0.0,0.0,MIL,75,0.67,1.15
2016-11-06,21600092,LAL,119,0.5,1.52,PHX,108,0.33,1.1
2016-11-06,21600091,BOS,107,0.6,1.5,DEN,123,0.4,0.87
2016-11-06,21600087,NYK,109,0.4,0.8,UTA,114,0.5,0.96
2016-11-06,21600089,TOR,91,0.8,2.76,SAC,96,0.29,0.95
2016-11-07,21600094,WAS,106,0.2,0.4,HOU,114,0.5,0.93
2016-11-07,21600099,GSW,116,0.67,1.0,NOP,106,0.0,1.09
2016-11-07,21600093,PHI,84,0.0,0.0,UTA,109,0.57,0.77
2016-11-07,21600095,CHA,122,0.8,1.6,IND,100,0.5,1.22
2016-11-07,21600098,LAC,114,0.83,1.24,DET,82,0.67,1.39
2016-11-07,21600097,OKC,97,0.83,2.07,MIA,85,0.4,1.14
2016-11-07,21600096,CHI,112,0.5,1.0,ORL,80,0.5,1.4
2016-11-08,21600105,SAC,102,0.38,1.0,NOP,94,0.0,1.09
2016-11-08,21600101,BKN,119,0.33,1.65,MIN,110,0.2,1.08
2016-11-08,21600103,POR,124,0.57,1.97,PHX,121,0.29,1.02
2016-11-08,21600102,MEM,108,0.43,0.86,DEN,107,0.5,1.01
2016-11-08,21600104,LAL,97,0.57,3.35,DAL,109,0.17,0.89
2016-11-08,21600100,CLE,106,1.0,1.49,ATL,110,0.67,0.96
2016-11-09,21600109,ORL,107,0.43,2.53,MIN,123,0.17,0.87
2016-11-09,21600113,PHX,107,0.25,0.44,DET,100,0.57,1.07
2016-11-09,21600107,WAS,118,0.17,0.34,BOS,93,0.5,1.27
2016-11-09,21600116,GSW,116,0.71,2.45,DAL,95,0.29,1.22
2016-11-09,21600111,ATL,115,0.71,1.25,CHI,107,0.57,1.07
2016-11-09,21600112,OKC,102,0.86,1.28,TOR,112,0.67,0.91
2016-11-09,21600115,LAC,111,0.86,1.39,POR,80,0.62,1.39
2016-11-09,21600114,SAS,99,0.71,1.25,HOU,101,0.57,0.98
2016-11-09,21600108,CHA,104,0.83,1.34,UTA,98,0.62,1.06
2016-11-09,21600106,NYK,110,0.33,0.77,BKN,96,0.43,1.15
2016-11-09,21600110,IND,122,0.43,1.0,PHI,115,0.0,1.06
2016-11-10,21600119,DEN,101,0.43,0.57,GSW,125,0.75,0.81
2016-11-10,21600120,SAC,91,0.44,0.88,LAL,101,0.5,0.9
2016-11-10,21600118,MIA,95,0.33,0.66,CHI,98,0.5,0.97
2016-11-10,21600117,MIL,106,0.57,1.0,NOP,112,0.0,0.95
2016-11-11,21600126,OKC,108,0.75,0.85,LAC,110,0.88,0.98
2016-11-11,21600128,POR,122,0.56,1.4,SAC,120,0.4,1.02
2016-11-11,21600121,PHI,109,0.0,0.0,IND,105,0.5,1.04
2016-11-11,21600122,WAS,94,0.29,0.34,CLE,105,0.86,0.9
2016-11-11,21600125,BOS,115,0.43,1.0,NYK,87,0.43,1.32
2016-11-11,21600123,CHA,111,0.86,1.21,TOR,113,0.71,0.98
2016-11-11,21600124,ORL,74,0.38,0.68,UTA,87,0.56,0.85
2016-11-11,21600127,SAS,96,0.62,1.24,DET,86,0.5,1.12
2016-11-12,21600138,DEN,95,0.38,0.86,DET,106,0.44,0.9
2016-11-12,21600139,PHX,104,0.33,0.87,BKN,122,0.38,0.85
2016-11-12,21600136,MIA,91,0.29,0.48,UTA,102,0.6,0.89
2016-11-12,21600133,CHI,106,0.56,2.24,WAS,95,0.25,1.12
2016-11-12,21600135,MIN,105,0.29,0.33,LAC,119,0.89,0.88
2016-11-12,21600129,NOP,99,0.11,0.2,LAL,126,0.56,0.79
2016-11-12,21600134,HOU,100,0.62,0.93,SAS,106,0.67,0.94
2016-11-12,21600132,ATL,117,0.75,6.25,PHI,96,0.12,1.22
2016-11-12,21600131,TOR,118,0.75,1.97,NYK,107,0.38,1.1
2016-11-12,21600130,IND,99,0.44,0.88,BOS,105,0.5,0.94
2016-11-12,21600137,MIL,106,0.5,1.0,MEM,96,0.5,1.1
2016-11-13,21600140,CLE,100,0.88,1.17,CHA,93,0.75,1.08
2016-11-13,21600143,GSW,133,0.78,2.6,PHX,120,0.3,1.11
2016-11-13,21600142,MIN,125,0.25,0.42,LAL,99,0.6,1.26
2016-11-13,21600141,OKC,117,0.67,2.03,ORL,119,0.33,0.98
2016-11-13,21600144,POR,112,0.6,1.82,DEN,105,0.33,1.07
2016-11-14,21600152,LAC,127,0.9,2.05,BKN,95,0.44,1.34
2016-11-14,21600150,SAS,94,0.7,2.8,MIA,90,0.25,1.04
2016-11-14,21600151,UTA,96,0.64,1.45,MEM,102,0.44,0.94
2016-11-14,21600145,IND,88,0.4,1.0,ORL,69,0.4,1.28
2016-11-14,21600148,NOP,106,0.1,0.18,BOS,105,0.56,1.01
2016-11-14,21600149,HOU,115,0.56,5.09,PHI,88,0.11,1.31
2016-11-14,21600146,NYK,93,0.33,1.32,DAL,77,0.25,1.21
2016-11-14,21600147,DET,104,0.5,0.83,OKC,88,0.6,1.18
2016-11-15,21600155,MIN,108,0.33,0.49,CHA,115,0.67,0.94
2016-11-15,21600157,LAL,125,0.55,1.38,BKN,118,0.4,1.06
2016-11-15,21600154,MIA,90,0.22,0.28,ATL,93,0.78,0.97
2016-11-15,21600153,CLE,121,0.89,1.14,TOR,117,0.78,1.03
2016-11-15,21600156,POR,88,0.64,1.07,CHI,113,0.6,0.78
2016-11-16,21600165,TOR,121,0.7,0.87,GSW,127,0.8,0.95
2016-11-16,21600167,LAC,107,0.91,1.82,MEM,111,0.5,0.96
2016-11-16,21600164,OKC,105,0.55,0.92,HOU,103,0.6,1.02
2016-11-16,21600163,ATL,107,0.8,1.43,MIL,100,0.56,1.07
2016-11-16,21600159,ORL,89,0.36,2.0,NOP,82,0.18,1.09
2016-11-16,21600162,NYK,105,0.4,0.73,DET,102,0.55,1.03
2016-11-16,21600168,SAC,105,0.36,0.49,SAS,110,0.73,0.95
2016-11-16,21600166,DEN,120,0.3,1.11,PHX,104,0.27,1.15
2016-11-16,21600158,PHI,109,0.1,0.45,WAS,102,0.22,1.07
2016-11-16,21600160,IND,103,0.45,0.5,CLE,93,0.9,1.11
2016-11-16,21600161,BOS,90,0.5,2.27,DAL,83,0.22,1.08
2016-11-17,21600172,MIN,110,0.3,1.67,PHI,86,0.18,1.28
2016-11-17,21600169,WAS,119,0.2,0.44,NYK,112,0.45,1.06
2016-11-17,21600171,HOU,126,0.55,0.95,POR,109,0.58,1.16
2016-11-17,21600173,UTA,77,0.58,0.91,CHI,85,0.64,0.91
2016-11-17,21600170,MIA,96,0.2,0.4,MIL,73,0.5,1.32
2016-11-18,21600183,SAC,115,0.33,0.4,LAC,121,0.83,0.95
2016-11-18,21600178,OKC,124,0.58,1.61,BKN,105,0.36,1.18
2016-11-18,21600181,DEN,111,0.36,0.56,TOR,113,0.64,0.98
2016-11-18,21600180,DAL,64,0.2,0.36,MEM,80,0.55,0.8
2016-11-18,21600179,BOS,88,0.55,0.67,GSW,104,0.82,0.85
2016-11-18,21600175,CLE,104,0.82,1.64,DET,81,0.5,1.28
2016-11-18,21600177,NOP,113,0.17,0.31,POR,101,0.54,1.12
2016-11-18,21600176,IND,96,0.5,2.0,PHX,116,0.25,0.83
2016-11-18,21600174,CHA,100,0.7,0.85,ATL,96,0.82,1.04
2016-11-18,21600182,LAL,107,0.58,0.77,SAS,116,0.75,0.92
2016-11-19,21600186,WAS,111,0.27,1.0,MIA,114,0.27,0.97
2016-11-19,21600190,MEM,93,0.58,1.61,MIN,71,0.36,1.31
2016-11-19,21600185,NOP,121,0.23,0.32,CHA,116,0.73,1.04
2016-11-19,21600184,HOU,111,0.58,1.07,UTA,102,0.54,1.09
2016-11-19,21600189,PHI,120,0.17,0.55,PHX,105,0.31,1.14
2016-11-19,21600188,DET,92,0.46,0.92,BOS,94,0.5,0.98
2016-11-19,21600192,LAC,102,0.85,1.27,CHI,95,0.67,1.07
2016-11-19,21600191,MIL,121,0.45,0.54,GSW,124,0.83,0.98
2016-11-19,21600187,ORL,95,0.42,2.33,DAL,87,0.18,1.09
2016-11-20,21600194,BKN,109,0.33,0.66,POR,129,0.5,0.84
2016-11-20,21600196,SAC,102,0.31,0.46,TOR,99,0.67,1.03
2016-11-20,21600198,LAL,110,0.54,0.87,CHI,118,0.62,0.93
2016-11-20,21600195,OKC,111,0.62,1.35,IND,115,0.46,0.97
2016-11-20,21600193,NYK,104,0.42,0.56,ATL,94,0.75,1.11
2016-11-20,21600197,DEN,105,0.33,0.66,UTA,91,0.5,1.15
2016-11-21,21600201,CHA,90,0.67,1.08,MEM,105,0.62,0.86
2016-11-21,21600200,WAS,106,0.25,0.86,PHX,101,0.29,1.05
2016-11-21,21600203,DET,96,0.43,0.69,HOU,99,0.62,0.97
2016-11-21,21600206,SAS,96,0.77,4.53,DAL,91,0.17,1.05
2016-11-21,21600199,PHI,101,0.23,0.7,MIA,94,0.33,1.07
2016-11-21,21600207,LAC,123,0.86,1.39,TOR,115,0.62,1.07
2016-11-21,21600202,IND,83,0.5,0.59,GSW,120,0.85,0.69
2016-11-21,21600204,MIL,93,0.42,0.91,ORL,89,0.46,1.04
2016-11-21,21600205,MIN,93,0.33,0.61,BOS,99,0.54,0.94
2016-11-22,21600208,NYK,107,0.46,0.87,POR,103,0.53,1.04
2016-11-22,21600211,LAL,111,0.5,0.88,OKC,109,0.57,1.02
2016-11-22,21600210,DEN,110,0.38,0.59,CHI,107,0.64,1.03
2016-11-22,21600209,ATL,94,0.69,2.38,NOP,112,0.29,0.84
2016-11-23,21600218,DET,107,0.4,1.29,MIA,84,0.31,1.27
2016-11-23,21600214,ORL,87,0.43,1.59,PHX,92,0.27,0.95
2016-11-23,21600213,CHA,114,0.62,0.78,SAS,119,0.79,0.96
2016-11-23,21600224,SAC,116,0.36,0.68,OKC,101,0.53,1.15
2016-11-23,21600219,HOU,102,0.64,1.12,TOR,115,0.57,0.89
2016-11-23,21600212,PHI,99,0.29,0.45,MEM,104,0.64,0.95
2016-11-23,21600223,GSW,149,0.86,1.62,LAL,106,0.53,1.41
2016-11-23,21600215,CLE,137,0.83,1.66,POR,125,0.5,1.1
2016-11-23,21600221,UTA,108,0.47,1.09,DEN,83,0.43,1.3
2016-11-23,21600220,DAL,104,0.15,0.17,LAC,124,0.87,0.84
2016-11-23,21600222,NOP,117,0.33,1.06,MIN,96,0.31,1.22
2016-11-23,21600217,BKN,92,0.31,0.54,BOS,111,0.57,0.83
2016-11-23,21600216,IND,85,0.47,0.73,ATL,96,0.64,0.89
2016-11-25,21600227,CLE,128,0.85,6.07,DAL,90,0.14,1.42
2016-11-25,21600228,NYK,113,0.5,0.88,CHA,111,0.57,1.02
2016-11-25,21600231,UTA,95,0.5,0.75,ATL,68,0.67,1.4
2016-11-25,21600238,LAL,85,0.5,0.57,GSW,109,0.87,0.78
2016-11-25,21600239,SAC,104,0.4,0.67,HOU,117,0.6,0.89
2016-11-25,21600226,ORL,91,0.4,1.29,WAS,94,0.31,0.97
2016-11-25,21600235,DEN,129,0.4,0.8,OKC,132,0.5,0.98
2016-11-25,21600233,MEM,81,0.67,2.31,MIA,90,0.29,0.9
2016-11-25,21600229,PHI,89,0.27,0.45,CHI,105,0.6,0.85
2016-11-25,21600225,BOS,103,0.6,0.75,SAS,109,0.8,0.94
2016-11-25,21600237,POR,119,0.47,1.24,NOP,104,0.38,1.14
2016-11-25,21600234,IND,118,0.44,1.52,BKN,97,0.29,1.22
2016-11-25,21600236,PHX,85,0.31,1.07,MIN,98,0.29,0.87
2016-11-25,21600230,DET,108,0.44,0.5,LAC,97,0.88,1.11
2016-11-25,21600232,MIL,99,0.46,0.77,TOR,105,0.6,0.94
2016-11-26,21600244,GSW,115,0.88,2.67,MIN,102,0.33,1.13
2016-11-26,21600241,CHA,107,0.53,1.0,NYK,102,0.53,1.05
2016-11-26,21600240,WAS,100,0.36,0.44,SAS,112,0.81,0.89
2016-11-26,21600243,MIA,107,0.33,0.53,MEM,110,0.62,0.97
2016-11-26,21600242,OKC,106,0.53,1.13,DET,88,0.47,1.2
2016-11-27,21600248,ORL,96,0.38,0.88,MIL,104,0.43,0.92
2016-11-27,21600247,BKN,105,0.27,0.71,SAC,122,0.38,0.86
2016-11-27,21600252,LAL,109,0.47,0.76,ATL,94,0.62,1.16
2016-11-27,21600246,PHX,114,0.29,0.76,DEN,120,0.38,0.95
