GAME_DATE,Team_ID,Game_ID,GAME_DATE,MATCHUP,HomeTeam,VisitTeam,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2011-12-25,1610612738,0021100001,2011-12-25,BOS @ NYK,NYK,BOS,L,0,1,0.0,240,39,76,0.513,2,5,0.4,24,31,0.774,13,28,41,28,7,5,18,28,104
2011-12-25,1610612747,0021100003,2011-12-25,LAL vs. CHI,LAL,CHI,L,0,1,0.0,240,36,76,0.474,4,16,0.25,11,20,0.55,12,30,42,22,6,8,17,20,87
2011-12-25,1610612753,0021100004,2011-12-25,ORL @ OKC,OKC,ORL,L,0,1,0.0,240,30,81,0.37,8,28,0.286,21,26,0.808,14,31,45,18,7,4,18,25,89
2011-12-25,1610612746,0021100005,2011-12-25,LAC @ GSW,GSW,LAC,W,1,0,1.0,240,37,81,0.457,8,23,0.348,23,38,0.605,13,30,43,22,9,8,10,19,105
2011-12-25,1610612744,0021100005,2011-12-25,GSW vs. LAC,GSW,LAC,L,0,1,0.0,240,32,82,0.39,5,21,0.238,17,24,0.708,17,31,48,17,4,8,16,32,86
2011-12-25,1610612752,0021100001,2011-12-25,NYK vs. BOS,NYK,BOS,W,1,0,1.0,240,35,74,0.473,9,20,0.45,27,34,0.794,8,23,31,17,9,11,16,25,106
2011-12-25,1610612748,0021100002,2011-12-25,MIA @ DAL,DAL,MIA,W,1,0,1.0,240,38,78,0.487,4,7,0.571,25,36,0.694,15,36,51,18,9,6,22,28,105
2011-12-25,1610612760,0021100004,2011-12-25,OKC vs. ORL,OKC,ORL,W,1,0,1.0,240,34,72,0.472,10,19,0.526,19,26,0.731,7,36,43,21,8,5,16,22,97
2011-12-25,1610612741,0021100003,2011-12-25,CHI @ LAL,LAL,CHI,W,1,0,1.0,240,36,89,0.404,7,15,0.467,9,14,0.643,16,25,41,21,14,4,14,21,88
2011-12-25,1610612742,0021100002,2011-12-25,DAL vs. MIA,DAL,MIA,L,0,1,0.0,240,31,82,0.378,9,28,0.321,23,30,0.767,8,23,31,23,10,0,17,29,94
2011-12-26,1610612743,0021100012,2011-12-26,DEN @ DAL,DAL,DEN,W,1,0,1.0,240,39,79,0.494,10,27,0.37,27,34,0.794,10,37,47,18,15,3,15,18,115
2011-12-26,1610612742,0021100012,2011-12-26,DAL vs. DEN,DAL,DEN,L,0,2,0.0,240,32,76,0.421,8,27,0.296,21,27,0.778,5,32,37,19,11,3,19,28,93
2011-12-26,1610612745,0021100008,2011-12-26,HOU @ ORL,ORL,HOU,L,0,1,0.0,240,36,82,0.439,6,27,0.222,17,20,0.85,11,30,41,26,4,5,9,17,95
2011-12-26,1610612747,0021100015,2011-12-26,LAL @ SAC,SAC,LAL,L,0,2,0.0,240,37,88,0.42,1,16,0.063,16,19,0.842,16,29,45,21,6,6,11,25,91
2011-12-26,1610612741,0021100017,2011-12-26,CHI @ GSW,GSW,CHI,L,1,1,0.5,240,34,82,0.415,8,24,0.333,15,22,0.682,14,33,47,16,3,3,20,21,91
2011-12-26,1610612740,0021100014,2011-12-26,NOH @ PHX,PHX,NOH,W,1,0,1.0,240,35,79,0.443,2,16,0.125,13,21,0.619,12,35,47,10,9,5,13,22,85
2011-12-26,1610612744,0021100017,2011-12-26,GSW vs. CHI,GSW,CHI,W,1,1,0.5,240,36,77,0.468,4,15,0.267,23,31,0.742,7,29,36,22,16,5,10,19,99
2011-12-26,1610612751,0021100006,2011-12-26,NJN @ WAS,WAS,NJN,W,1,0,1.0,240,34,86,0.395,6,26,0.231,16,20,0.8,18,40,58,17,7,3,15,26,90
2011-12-26,1610612739,0021100009,2011-12-26,CLE vs. TOR,CLE,TOR,L,0,1,0.0,240,35,85,0.412,6,20,0.3,20,28,0.714,15,22,37,21,7,1,7,16,96
2011-12-26,1610612753,0021100008,2011-12-26,ORL vs. HOU,ORL,HOU,W,1,1,0.5,240,44,83,0.53,9,22,0.409,7,10,0.7,6,29,35,19,1,4,11,15,104
2011-12-26,1610612754,0021100010,2011-12-26,IND vs. DET,IND,DET,W,1,0,1.0,240,32,87,0.368,7,15,0.467,20,25,0.8,18,35,53,20,9,9,10,20,91
2011-12-26,1610612755,0021100016,2011-12-26,PHI @ POR,POR,PHI,L,0,1,0.0,240,40,83,0.482,8,19,0.421,15,19,0.789,9,38,47,21,6,7,20,25,103
2011-12-26,1610612756,0021100014,2011-12-26,PHX vs. NOH,PHX,NOH,L,0,1,0.0,240,32,81,0.395,5,25,0.2,15,19,0.789,12,33,45,23,9,3,14,24,84
2011-12-26,1610612757,0021100016,2011-12-26,POR vs. PHI,POR,PHI,W,1,0,1.0,240,40,97,0.412,9,19,0.474,18,23,0.783,17,33,50,24,11,6,12,19,107
2011-12-26,1610612758,0021100015,2011-12-26,SAC vs. LAL,SAC,LAL,W,1,0,1.0,240,35,75,0.467,9,18,0.5,21,35,0.6,10,30,40,16,4,6,11,19,100
2011-12-26,1610612759,0021100013,2011-12-26,SAS vs. MEM,SAS,MEM,W,1,0,1.0,240,35,88,0.398,10,33,0.303,15,22,0.682,12,25,37,23,13,5,13,20,95
2011-12-26,1610612760,0021100011,2011-12-26,OKC @ MIN,MIN,OKC,W,2,0,1.0,240,35,78,0.449,5,16,0.313,29,31,0.935,8,34,42,18,6,5,17,26,104
