id	date	home_team	home_team_score	visit_team	visit_team_score
400488879	2014-10-30	Toronto	93	Boston Celtics	87
400488897	2014-11-01	Boston Celtics	98	Milwaukee	105
400488914	2014-11-03	Detroit	87	Boston Celtics	77
400488922	2014-11-04	Memphis	95	Boston Celtics	88
400488937	2014-11-06	Boston Celtics	97	Utah	87
400488948	2014-11-08	Orlando	89	Boston Celtics	91
400488962	2014-11-09	Miami	110	Boston Celtics	111
400488974	2014-11-11	Boston Celtics	120	Orlando	105
400488986	2014-11-13	Boston Celtics	83	Charlotte	89
400489001	2014-11-15	Boston Celtics	96	Portland	109
400489015	2014-11-16	Minnesota	106	Boston Celtics	88
400489032	2014-11-19	Houston	109	Boston Celtics	85
400489043	2014-11-20	San Antonio	104	Boston Celtics	93
400489052	2014-11-22	Boston Celtics	82	Indiana	97
400489063	2014-11-23	Atlanta	87	Boston Celtics	94
400489075	2014-11-25	Charlotte	86	Boston Celtics	96
400489090	2014-11-27	Boston Celtics	93	Memphis	100
400489105	2014-11-29	Boston Celtics	103	Cleveland	86
400489120	2014-11-30	Milwaukee	92	Boston Celtics	85
400489135	2014-12-03	Boston Celtics	108	Milwaukee	100
400489156	2014-12-06	Boston Celtics	106	Denver	98
400489172	2014-12-08	NY Knicks	73	Boston Celtics	114
400489187	2014-12-10	Brooklyn	104	Boston Celtics	96
400489192	2014-12-11	Boston Celtics	88	LA	96
400489206	2014-12-13	Boston Celtics	90	NY Knicks	86
400489231	2014-12-16	Boston Celtics	101	Minnesota	97
400489246	2014-12-18	Boston Celtics	106	Detroit	107
400489266	2014-12-21	Boston Celtics	99	Washington	106
400489277	2014-12-22	Indiana	106	Boston Celtics	79
400489309	2014-12-28	Boston Celtics	103	Cleveland	100
400489333	2014-12-31	Boston Celtics	91	Atlanta	92
400489348	2014-01-02	Chicago	94	Boston Celtics	82
400489357	2014-01-03	Boston Celtics	92	New Orleans	95
400489375	2014-01-05	Oklahoma City	119	Boston Celtics	96
400489390	2014-01-07	Denver	129	Boston Celtics	98
400489401	2014-01-08	LA	111	Boston Celtics	105
400489414	2014-01-10	Golden State	99	Boston Celtics	97
400489424	2014-01-11	Portland	112	Boston Celtics	104
400489429	2014-01-13	Boston Celtics	92	Houston	104
400489442	2014-01-15	Boston Celtics	88	Toronto	83
400489459	2014-01-17	Boston Celtics	104	Los Angeles	107
400489475	2014-01-19	Orlando	93	Boston Celtics	91
400489490	2014-01-21	Miami	93	Boston Celtics	86
400489498	2014-01-22	Washington	111	Boston Celtics	113
400489509	2014-01-24	Boston Celtics	83	Oklahoma City	101
400489531	2014-01-26	Boston Celtics	79	Brooklyn	85
400489543	2014-01-28	NY Knicks	114	Boston Celtics	88
400489551	2014-01-29	Boston Celtics	94	Philadelphia	95
400489582	2014-02-02	Boston Celtics	96	Orlando	89
400489599	2014-02-05	Philadelphia	108	Boston Celtics	114
400489616	2014-02-07	Boston Celtics	99	Sacramento	89
400489631	2014-02-09	Boston Celtics	91	Dallas	102
400489640	2014-02-10	Milwaukee	86	Boston Celtics	102
400489653	2014-02-12	Boston Celtics	92	San Antonio	104
400489680	2014-02-19	Phoenix	100	Boston Celtics	94
400489697	2014-02-21	Los Angeles	101	Boston Celtics	92
400489704	2014-02-22	Sacramento	105	Boston Celtics	98
400489718	2014-02-24	Utah	110	Boston Celtics	98
400489727	2014-02-26	Boston Celtics	115	Atlanta	104
400489750	2014-03-01	Boston Celtics	97	Indiana	102
400489780	2014-03-05	Boston Celtics	88	Golden State	108
400489793	2014-03-07	Boston Celtics	91	Brooklyn	84
400489810	2014-03-09	Boston Celtics	118	Detroit	111
400489823	2014-03-11	Indiana	94	Boston Celtics	83
400489835	2014-03-12	Boston Celtics	92	NY Knicks	116
400489848	2014-03-14	Boston Celtics	80	Phoenix	87
400489863	2014-03-16	New Orleans	121	Boston Celtics	120
400489874	2014-03-17	Dallas	94	Boston Celtics	89
400489882	2014-03-19	Boston Celtics	101	Miami	96
