,Players PER,Players name,season
386,9.62,Aaron Brooks,2017
186,14.52,Aaron Gordon,2017
465,-2.16,Aaron Harrison,2017
163,14.44,Adreian Payne,2017
405,8.41,AJ Hammons,2017
89,17.77,Al Horford,2017
81,18.96,Al Jefferson,2017
458,5,Alan Anderson,2017
77,19.59,Alan Williams,2017
294,11.65,Alec Burks,2017
349,10.11,Alex Abrines,2017
149,15.04,Alex Len,2017
243,13.04,Alex Poythress,2017
220,12.91,Alexis Ajinca,2017
326,11.31,Al-Farouq Aminu,2017
270,11.64,Allen Crabbe,2017
460,3.14,Alonzo Gee,2017
150,15.03,Amir Johnson,2017
388,9.43,Anderson Varejao,2017
44,20.91,Andre Drummond,2017
189,14.37,Andre Iguodala,2017
361,9.64,Andre Roberson,2017
364,9.31,Andrew Bogut,2017
425,8.69,Andrew Harrison,2017
451,5.97,Andrew Nicholson,2017
103,16.62,Andrew Wiggins,2017
182,14.72,Anthony Bennett,2017
443,7.2,Anthony Brown,2017
3,27.59,Anthony Davis,2017
376,10.09,Anthony Morrow,2017
303,11.17,Anthony Tolliver,2017
58,18.77,Archie Goodwin,2017
471,5.79,Arinze Onuaku,2017
215,13.11,Aron Baynes,2017
396,9.02,Arron Afflalo,2017
325,11.44,Austin Rivers,2017
161,14.52,Avery Bradley,2017
449,6.26,Axel Toupane,2017
485,-17.55,Ben Bentil,2017
356,9.87,Ben McLemore,2017
132,16.2,Beno Udrih,2017
257,12.23,Bismack Biyombo,2017
39,22.71,Blake Griffin,2017
26,29.7,Boban Marjanovic,2017
332,10.9,Bobby Brown,2017
177,14.99,Bobby Portis,2017
230,13.56,Bojan Bogdanovic,2017
395,9.04,Boris Diaw,2017
49,20.21,Bradley Beal,2017
84,18.61,Brandan Wright,2017
52,19.71,Brandon Bass,2017
402,8.56,Brandon Ingram,2017
260,12.09,Brandon Jennings,2017
253,12.41,Brandon Knight,2017
422,6.62,Brandon Rush,2017
381,9.84,Brian Roberts,2017
328,11.17,Briante Weber,2017
70,17.28,Brice Johnson,2017
46,20.48,Brook Lopez,2017
184,14.62,Bruno Caboclo,2017
450,6.09,Bryn Forbes,2017
265,11.89,Buddy Hield,2017
389,9.3,C.J. Watson,2017
473,5.52,Cameron Payne,2017
281,12.29,Caris LeVert,2017
87,17.96,Carmelo Anthony,2017
436,7.69,Chandler Parsons,2017
112,15.72,Channing Frye,2017
173,13.81,Chasson Randle,2017
101,16.89,Cheick Diallo,2017
256,12.3,Chinanu Onuaku,2017
295,11.64,Chris Andersen,2017
120,15.28,Chris McCullough,2017
30,26.25,Chris Paul,2017
122,15.1,Christian Wood,2017
75,19.99,CJ McCollum,2017
174,13.77,CJ Miles,2017
478,2.9,CJ Wilcox,2017
41,21.48,Clint Capela,2017
102,16.7,Cody Zeller,2017
224,12.69,Cole Aldrich,2017
366,9.16,Corey Brewer,2017
210,13.22,Cory Joseph,2017
282,12.2,Courtney Lee,2017
143,15.34,Cristiano Felicio,2017
330,11.01,D.J. Augustin,2017
157,14.78,Dahntay Jones,2017
474,5.32,Damian Jones,2017
10,24.15,Damian Lillard,2017
424,6.38,Damjan Rudez,2017
142,15.36,D'Angelo Russell,2017
446,6.64,Daniel Ochefu,2017
68,17.41,Danilo Gallinari,2017
323,10.16,Danny Green,2017
347,10.2,Dante Cunningham,2017
426,8.58,Dante Exum,2017
283,12.19,Danuel House Jr.,2017
246,12.84,Dario Saric,2017
221,12.89,Darrell Arthur,2017
117,15.37,Darren Collison,2017
453,5.9,Darrun Hilliard,2017
86,18.48,David Lee,2017
261,12.06,David U. Nwaba,2017
128,16.57,David West,2017
